ticker,sector,trade_date,open_price,high_price,low_price,close_price,volume,Daily_Return,MA20,MA50,MA200,Rolling_Volatility_20D,Running_Max,Drawdown
MARUTI,Automobile,2025-12-05,16000.0,16338.0,15979.0,16282.0,332032,0.018006752532199632,15910.55,16026.68,,0.00914817651122029,16424.0,-0.008645884072089625
MARUTI,Automobile,2025-12-08,16200.0,16256.0,16094.0,16187.0,220513,-0.005834664046185933,15940.75,16025.44,,0.009278391032474374,16424.0,-0.014430102289332683
MARUTI,Automobile,2025-12-09,16051.0,16226.0,15985.0,16020.0,276388,-0.010316920985976363,15959.5,16020.46,,0.009656343564409147,16424.0,-0.024598149050170482
MARUTI,Automobile,2025-12-10,16090.0,16125.0,15925.0,16019.0,293374,-6.242197253436554e-05,15975.65,16015.12,,0.009648145718732076,16424.0,-0.02465903555772041
MARUTI,Automobile,2025-12-11,16049.0,16296.0,15983.0,16248.0,268701,0.014295524065172538,16000.6,16020.4,,0.010084982860529437,16424.0,-0.01071602532878714
MARUTI,Automobile,2025-12-12,16248.0,16536.0,16247.0,16522.0,404711,0.016863613983259418,16042.5,16030.26,,0.010538641179237775,16522.0,0.0
MARUTI,Automobile,2025-12-15,16500.0,16500.0,16360.0,16415.0,225221,-0.0064762135334704984,16069.35,16039.26,,0.010466955069760414,16522.0,-0.0064762135334705245
MARUTI,Automobile,2025-12-16,16400.0,16451.0,16320.0,16354.0,156134,-0.003716113310996083,16090.55,16050.22,,0.010528717792449559,16522.0,-0.010168260501149981
MARUTI,Automobile,2025-12-17,16389.0,16490.0,16357.0,16398.0,257406,0.0026904732787085273,16122.05,16058.22,,0.010173810457265875,16522.0,-0.007505144655610701
MARUTI,Automobile,2025-12-18,16440.0,16486.0,16221.0,16329.0,213981,-0.004207830223197928,16148.45,16062.64,,0.01026821534731373,16522.0,-0.011681394504297301
MARUTI,Automobile,2025-12-19,16329.0,16475.0,16329.0,16414.0,360190,0.005205462673770533,16170.3,16070.68,,0.010064707648748828,16522.0,-0.006536738893596417
MARUTI,Automobile,2025-12-22,16464.0,16693.0,16414.0,16649.0,271590,0.014317046423784507,16204.85,16083.96,,0.010444973179916602,16649.0,0.0
MARUTI,Automobile,2025-12-23,16709.0,16720.0,16558.0,16585.0,215650,-0.0038440747192023395,16239.65,16090.36,,0.010429805641743247,16649.0,-0.0038440747192023546
MARUTI,Automobile,2025-12-24,16640.0,16720.0,16542.0,16703.0,258486,0.007114862827856561,16267.0,16097.96,,0.009928608567264088,16703.0,0.0
MARUTI,Automobile,2025-12-26,16703.0,16703.0,16516.0,16596.0,212925,-0.0064060348440400094,16301.65,16104.66,,0.00927018952829456,16703.0,-0.006406034844039993
MARUTI,Automobile,2025-12-29,16600.0,16682.0,16499.0,16542.0,251796,-0.0032537960954447387,16333.75,16111.26,,0.009336433648455537,16703.0,-0.009638987008321859
MARUTI,Automobile,2025-12-30,16575.0,16818.0,16482.0,16647.0,1055843,0.006347479143997026,16361.25,16118.24,,0.009077459757646282,16703.0,-0.003352691133329342
MARUTI,Automobile,2025-12-31,16581.0,16776.0,16581.0,16697.0,314427,0.0030035441821349984,16384.15,16124.16,,0.008929936030144444,16703.0,-0.0003592169071424295
MARUTI,Automobile,2026-01-01,16700.0,16798.0,16602.0,16708.0,171293,0.0006588009822123819,16415.45,16129.84,,0.008544743701508078,16708.0,0.0
MARUTI,Automobile,2026-01-02,16750.0,16999.0,16723.0,16960.0,388562,0.01508259516399324,16463.75,16141.12,,0.008836744824198989,16960.0,0.0
MARUTI,Automobile,2026-01-05,17025.0,17370.0,16980.0,17155.0,305668,0.011497641509433887,16507.4,16156.36,,0.008360986333720073,17155.0,0.0
MARUTI,Automobile,2026-01-06,17170.0,17306.0,17142.0,17292.0,192182,0.007986009909647374,16562.65,16176.72,,0.008192439978841132,17292.0,0.0
MARUTI,Automobile,2026-01-07,17230.0,17249.0,16524.0,16809.0,427979,-0.02793199167244964,16602.1,16185.14,,0.010389977383411695,17292.0,-0.02793199167244969
MARUTI,Automobile,2026-01-08,16808.0,16808.0,16541.0,16664.0,238421,-0.008626331132131626,16634.35,16192.2,,0.010671969515890042,17292.0,-0.03631737219523479
MARUTI,Automobile,2026-01-09,16663.0,16704.0,16417.0,16501.0,286302,-0.009781565050408059,16647.0,16199.46,,0.010573089029208777,17292.0,-0.04574369650705529
MARUTI,Automobile,2026-01-12,16456.0,16615.0,16271.0,16582.0,288686,0.004908793406460221,16650.0,16206.98,,0.009937532662560119,17292.0,-0.04105944945639602
MARUTI,Automobile,2026-01-13,16662.0,16726.0,16293.0,16426.0,312205,-0.009407791581232616,16650.55,16211.78,,0.010062466511268407,17292.0,-0.050080962294702755
MARUTI,Automobile,2026-01-14,16390.0,16412.0,16090.0,16152.0,240043,-0.01668087178862776,16640.45,16221.8,,0.010716371431125478,17292.0,-0.0659264399722415
